time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
75776,125,20.6,53.47,601,37,0.06767578125,0.5517084002494812,12.351674818992615,0.2,0.0003,4.876957416534424,-0.2892513681203127,360,-0.01606138698407449,0.0070485366
77824,129,20.94,58.32,601,38,0.0529296875,0.4428884983062744,14.824127674102783,0.2,0.0003,6.650117874145508,-0.3001539994031191,370,-0.016608469007769598,0.0051509044
79872,133,20.64,53.34,598,39,0.039697265625,0.49699872732162476,14.123794329166412,0.2,0.0003,5.716793537139893,-0.29823279455304147,380,-0.01564520574756898,0.0042278524
81920,136,21.41,50.8,599,40,0.063525390625,0.5057575702667236,14.181336867809296,0.2,0.0003,7.688342094421387,-0.3289765458554029,390,-0.01805533671285957,0.0077654943
83968,139,20.2,60.11,600,41,0.068994140625,0.47069859504699707,12.56343116760254,0.2,0.0003,6.245370388031006,-0.3378533240407705,400,-0.02016189569840208,0.007614389
86016,142,19.92,57.43,602,42,0.066650390625,0.5423712730407715,12.838301789760589,0.2,0.0003,6.946084022521973,-0.30740176141262054,410,-0.01677843836368993,0.0070942123
88064,146,19.9,55.07,600,43,0.08515625,0.5227575302124023,12.046395778656006,0.2,0.0003,6.7044677734375,-0.32686943784356115,420,-0.020110403292346746,0.009189582
90112,150,19.88,61.63,598,44,0.09912109375,0.5414788722991943,10.950541710853576,0.2,0.0003,4.743641376495361,-0.33005790151655673,430,-0.024081557913450524,0.011962438
92160,153,21.01,66.46,599,45,0.09462890625,0.5191001296043396,12.922484838962555,0.2,0.0003,6.088867664337158,-0.3379009548574686,440,-0.02218114723218605,0.00972269
94208,156,19.59,62.93,602,46,0.08125,0.4612138867378235,13.183907282352447,0.2,0.0003,5.532777786254883,-0.33816750943660734,450,-0.021300337580032646,0.009417849
96256,159,21.13,68.5,605,47,0.093896484375,0.4451093077659607,14.430062890052795,0.2,0.0003,7.3717827796936035,-0.3426219251006842,460,-0.022881839895853774,0.0073427223
98304,163,20.33,62.99,602,48,0.08408203125,0.45779043436050415,13.381728386878967,0.2,0.0003,7.341464996337891,-0.3367048859596252,470,-0.02537212471361272,0.009607535
100352,166,21.3,71.32,603,49,0.09326171875,0.4539855718612671,12.59088784456253,0.2,0.0003,5.908470630645752,-0.327322418615222,480,-0.022872683411696924,0.010198102
102400,168,21.65,79.54,606,50,0.071826171875,0.4635468125343323,13.663722217082977,0.2,0.0003,6.161656379699707,-0.3116652198135853,490,-0.02010004357434809,0.008254134
104448,171,20.37,70.62,608,51,0.067041015625,0.4818519949913025,12.821786963939667,0.2,0.0003,5.786189556121826,-0.29341301023960115,500,-0.020212025818182155,0.006607527
106496,174,21.8,79.48,611,52,0.073876953125,0.5422071218490601,10.619592547416687,0.2,0.0003,4.623412132263184,-0.26464281491935254,510,-0.017140808509429915,0.006943277
108544,177,21.07,75.64,612,53,0.077392578125,0.4878930449485779,11.898697125911713,0.2,0.0003,5.91433048248291,-0.283599815890193,520,-0.021060877153649925,0.008415453
110592,180,20.69,70.55,612,54,0.0625,0.4812105894088745,11.728987723588943,0.2,0.0003,6.623504638671875,-0.2690866746008396,530,-0.019684665111708455,0.007451319
112640,183,20.07,68.76,614,55,0.0685546875,0.4536287188529968,10.937265121936798,0.2,0.0003,5.353677272796631,-0.2564976269379258,540,-0.020028646913124247,0.0068559996
114688,186,19.97,74.41,616,56,0.04931640625,0.5058366060256958,10.330109477043152,0.2,0.0003,5.015666961669922,-0.23334587030112744,550,-0.016743466164916752,0.006168389
